Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Finland,1983,10.4,Total
Finland,1984,10.2,Total
Finland,1984,9.9,Total
Finland,1984,9.5,Total
Finland,1984,10.1,Total
Finland,1984,11.2,Total
Finland,1984,11.4,Total
Finland,1984,11.8,Total
Finland,1984,12.8,Total
Finland,1984,14,Total
Finland,1985,14.1,Total
Finland,1985,14.3,Total
Finland,1985,14.9,Total
Finland,1985,15.7,Total
Finland,1985,14.9,Total
Finland,1985,15.6,Total
Finland,1985,16.6,Total
Finland,1985,15.8,Total
Finland,1985,15.7,Total
Finland,1986,18.3,Total
Finland,1986,18.8,Total
Finland,1986,19,Total
Finland,1986,19,Total
Finland,1986,20,Total
Finland,1986,21,Total
Finland,1986,23,Total
Finland,1986,24,Total
Finland,1986,34.3,Female
Finland,1987,35.3,Female
Finland,1987,29.9,Female
Finland,1987,34,Female
Finland,1987,28.5,Female
Finland,1987,35.8,Female
Finland,1987,35,Female
Finland,1987,21.6,Female
Finland,1987,25.1,Female
Finland,1987,24.2,Female
Finland,1988,21.7,Female
Finland,1988,24.5,Female
Finland,1988,23.1,Female
Finland,1988,23.9,Female
Finland,1988,22.5,Female
Finland,1988,23.2,Female
Finland,1988,21.7,Female
Finland,1988,21.8,Female
Finland,1988,23.9,Female
Finland,1989,21.8,Female
Finland,1989,23.6,Female
Finland,1989,24.5,Female
Finland,1989,23.8,Female
Finland,1989,24.8,Female
Finland,1989,27.7,Female
Finland,1989,26.3,Female
Finland,1989,27.1,Female
Finland,1989,25.5,Female
Finland,1990,25.5,Female
Finland,1990,25.7,Female
Finland,1990,25.6,Female
Finland,1990,25.6,Female
Finland,1990,26.2,Female
Finland,1990,24.7,Female
Finland,1990,26.6,Female
Finland,1990,27.2,Female
Finland,1990,28.8,Female
Finland,1991,27.6,Female
Finland,1991,28.3,Female
Finland,1991,27.7,Female
Finland,1991,27.7,Female
Finland,1991,27.4,Female
Finland,1991,29.1,Female
Finland,1991,27.5,Female
Finland,1991,31.4,Female
Finland,1991,31,Female
Finland,1992,30,Female
Finland,1992,29,Female
Finland,1992,31,Female
Finland,1992,30,Female
Finland,1992,30,Female
Finland,1992,27.4,Total
Finland,1992,30.9,Total
Finland,1992,29.8,Total
Finland,1992,29,Total
Finland,1993,30.3,Total
Finland,1993,29.4,Total
Finland,1993,28.7,Total
Finland,1993,28.5,Total
Finland,1993,29.4,Total
Finland,1993,28.1,Total
Finland,1993,28.9,Total
Finland,1993,30.2,Total
Finland,1993,29.3,Total
Finland,1994,29.6,Total
Finland,1994,32.2,Total
Finland,1994,30.2,Total
Finland,1994,32.2,Total
Finland,1994,33.7,Total
Finland,1994,32.2,Total
Finland,1994,32.5,Total
Finland,1994,33.9,Total
Finland,1994,32.4,Total
Finland,1995,32.2,Total
Finland,1995,32.7,Total
Finland,1995,33.5,Total
Finland,1995,32.2,Total
Finland,1995,31.3,Total
Finland,1995,35,Total
Finland,1995,33.4,Total
Finland,1995,34,Total
Finland,1995,33.1,Total
Finland,1996,34.4,Total
Finland,1996,34.1,Total
Finland,1996,34.1,Total
Finland,1996,33.5,Total
Finland,1996,34.2,Total
Finland,1996,33.8,Total
Finland,1996,37.3,Total
Finland,1996,37,Total
Finland,1996,38,Total
Finland,1997,35,Total
Finland,1997,36,Total
Finland,1997,37,Total
Finland,1997,37,Total
Finland,1997,17.8,Female
Finland,1997,24.1,Female
Finland,1997,19.2,Female
Finland,1997,25.8,Female
Finland,1997,21.5,Female
Finland,1998,27.5,Female
Finland,1998,32,Female
Finland,1998,43.7,Male
Finland,1998,46.8,Male
Finland,1998,45.5,Male
Finland,1998,46.4,Male
Finland,1998,44.7,Male
Finland,1998,45.8,Male
Finland,1998,44.5,Male
Finland,1999,11.3,Male
Finland,1999,20.9,Male
Finland,1999,18.6,Male
Finland,1999,23.8,Male
Finland,1999,21.5,Male
Finland,1999,26.1,Male
Finland,1999,28.3,Male
Finland,1999,55,Male
Finland,1999,67.7,Male
Finland,2000,64,Male
Finland,2000,70.2,Male
Finland,2000,66.2,Male
Finland,2000,71.9,Male
Finland,2000,72.8,Male
Finland,2000,6,Male
Finland,2000,7.5,Male
Finland,2000,6.7,Male
Finland,2000,6.8,Male
Finland,2000,6.9,Male
Finland,2000,8.2,Male
Finland,2000,7.3,Male
Finland,2000,6.5,Male
Finland,2000,7.2,Male
Finland,2000,8.8,Male
Finland,2000,8.1,Male
Finland,2000,8.3,Male
Finland,2000,7.9,Male
Finland,2001,9.2,Male
Finland,2001,9,Male
Finland,2001,10.6,Male
Finland,2001,9.1,Male
Finland,2001,11.3,Male
Finland,2001,11,Male
Finland,2001,10.9,Male
Finland,2001,10.2,Male
Finland,2001,9.7,Male
Finland,2002,11.4,Male
Finland,2002,12.8,Male
Finland,2002,12,Male
Finland,2002,14,Male
Finland,2002,14,Male
Finland,2002,14.9,Male
Finland,2002,14.6,Male
Finland,2002,16,Male
Finland,2002,15.4,Male
Finland,2003,16.1,Male
Finland,2003,15.7,Male
Finland,2003,17.5,Male
Finland,2003,16.1,Male
Finland,2003,17.4,Male
Finland,2003,18.9,Male
Finland,2003,18.7,Male
Finland,2003,21,Male
Finland,2003,19,Male
Finland,2004,21,Male
Finland,2004,20,Male
Finland,2004,23,Male
Finland,2004,24,Male
Finland,2004,33.2,Male
Finland,2004,36.3,Male
Finland,2004,35.1,Male
Finland,2004,35.9,Male
Finland,2004,35.8,Male
Finland,2005,35.8,Male
Finland,2005,34.5,Male
Finland,2005,35.1,Male
Finland,2005,36.5,Male
Finland,2005,35.4,Male
Finland,2005,36.2,Male
Finland,2005,37,Male
Finland,2005,37.5,Male
Finland,2005,36.4,Male
Finland,2006,40.9,Male
Finland,2006,37.6,Male
Finland,2006,40.4,Male
Finland,2006,40.6,Male
Finland,2006,39,Male
Finland,2006,39,Male
Finland,2006,42.9,Male
Finland,2006,40.5,Male
Finland,2006,40,Male
Finland,2007,41,Male
Finland,2007,42.8,Male
Finland,2007,39.5,Male
Finland,2007,39.3,Male
Finland,2007,44.8,Male
Finland,2007,40.9,Male
Finland,2007,40.7,Male
Finland,2007,40.4,Male
Finland,2007,42.3,Male
Finland,2007,42.2,Male
Finland,2007,42.6,Male
Finland,2007,41.7,Male
Finland,2007,40.9,Male
Finland,2007,42.2,Male
Finland,2007,43.5,Male
Finland,2008,43,Male
Finland,2008,45,Male
Finland,2008,42,Male
Finland,2008,42,Male
Finland,2008,43,Male
Finland,2008,43,Male
Finland,2008,39.2,Male
Finland,2008,43.8,Male
Finland,2008,41.8,Male
Finland,2009,42.7,Male
Finland,2009,42.7,Male
Finland,2009,44,Male
Finland,2009,41.8,Male
Finland,2009,41.6,Male
Finland,2009,43.7,Male
Finland,2009,44.2,Male
Finland,2009,44.3,Male
Finland,2009,45.3,Male
Finland,2010,45.4,Male
Finland,2010,45.6,Male
Finland,2010,49.9,Male
Finland,2010,48.2,Male
Finland,2010,49.5,Male
Finland,2010,51.9,Male
Finland,2010,50,Male
Finland,2010,49.9,Male
Finland,2010,53.1,Male
Finland,2011,50.2,Male
Finland,2011,51.4,Male
Finland,2011,53.8,Male
Finland,2011,54.8,Male
Finland,2011,53.5,Male
Finland,2011,53.3,Male
Finland,2011,59.7,Male
Finland,2011,55.5,Male
Finland,2011,56.7,Male
Finland,2011,55.8,Male
Finland,2011,58.4,Male
Finland,2011,57.9,Male
Finland,2011,60.1,Male
Finland,2011,57.8,Male
Finland,2011,58.3,Male
Finland,2011,61.1,Male
Finland,2011,62.2,Male
Finland,2011,64,Male
Finland,2012,64,Male
Finland,2012,62,Male
Finland,2012,62,Male
Finland,2012,67,Male
Finland,2012,67,Male
Finland,2012,52.1,Female
Finland,2012,59.4,Female
Finland,2012,49.2,Female
Finland,2012,59.8,Female
Finland,2012,50,Female
Finland,2012,63.2,Female
Finland,2012,67,Female
